x;y;z
0,805321;-0,327224;-0,494350
0,805322;-0,113132;-0,581943
0,805321;-0,327227;-0,494348
0,805322;-0,113132;-0,581943
0,805321;-0,327224;-0,494350
0,805322;-0,113129;-0,581944
0,000214;0,199358;-0,979927
0,000210;0,559185;-0,829043
0,000214;0,199358;-0,979927
0,000210;0,559185;-0,829043
0,000214;0,199358;-0,979927
0,000210;0,559186;-0,829042
0,939055;-0,068530;0,336867
0,939055;-0,192226;0,285000
0,939055;-0,068529;0,336867
0,939055;-0,192226;0,285000
0,939055;-0,068530;0,336867
0,939055;-0,192227;0,284999
0,949647;0,175200;-0,259758
1,000000;-0,000008;0,000006
0,949647;0,062460;-0,307034
0,938361;0,068908;-0,338718
0,938361;0,193283;-0,286565
0,938361;0,068907;-0,338718
0,938361;0,193283;-0,286565
0,938361;0,068908;-0,338718
0,938361;0,193285;-0,286564
-0,927229;0,209413;-0,310472
-0,927231;0,074659;-0,366973
-0,927229;0,209412;-0,310473
-0,927231;0,074659;-0,366973
-0,927229;0,209413;-0,310472
-0,927231;0,074658;-0,366974
0,805325;-0,118179;0,580934
0,805325;-0,331496;0,491489
0,805325;-0,118178;0,580935
0,805325;-0,331496;0,491489
0,805325;-0,118179;0,580934
0,805325;-0,331497;0,491488
0,000214;-0,199358;0,979927
0,000213;-0,559182;0,829045
0,000214;-0,199358;0,979927
0,000213;-0,559182;0,829045
0,000214;-0,199358;0,979927
0,000213;-0,559183;0,829044
0,939055;0,192226;-0,285000
0,939055;0,068531;-0,336867
0,939055;0,192227;-0,284999
0,939055;0,068531;-0,336867
0,939055;0,192226;-0,285000
0,939055;0,068529;-0,336868
0,949641;-0,175207;0,259779
1,000000;-0,000008;0,000006
0,949641;-0,062465;0,307049
0,938361;-0,193284;0,286565
0,938361;-0,068908;0,338718
0,938361;-0,193285;0,286564
0,938361;-0,068908;0,338718
0,938361;-0,193284;0,286565
0,938361;-0,068907;0,338718
-0,927230;-0,209411;0,310471
-0,927231;-0,074658;0,366974
-0,927231;-0,074659;0,366973
-0,927230;-0,209411;0,310471
-0,927231;-0,074659;0,366973
-0,927230;-0,209410;0,310472
0,805323;0,331494;-0,491493
0,805324;0,118182;-0,580936
0,805323;0,331496;-0,491493
0,805324;0,118182;-0,580936
0,805323;0,331494;-0,491493
0,805324;0,118182;-0,580936
0,000213;-0,979927;-0,199356
0,000215;-0,829046;-0,559180
0,000213;-0,979927;-0,199355
0,000215;-0,829046;-0,559180
0,000213;-0,979927;-0,199356
0,000215;-0,829046;-0,559180
0,939055;0,336867;0,068530
0,939055;0,285000;0,192226
0,939055;0,336867;0,068529
0,939055;0,285000;0,192226
0,939055;0,336867;0,068530
0,939055;0,284999;0,192227
0,949644;-0,259766;-0,175208
1,000000;-0,000008;0,000006
0,949643;-0,307046;-0,062459
0,938361;-0,338718;-0,068908
0,938361;-0,286565;-0,193283
0,938361;-0,338718;-0,068907
0,938361;-0,286565;-0,193283
0,938361;-0,338718;-0,068908
0,938361;-0,286564;-0,193285
-0,927230;-0,366976;-0,074658
-0,927231;-0,310470;-0,209407
-0,927231;-0,310470;-0,209407
-0,927231;-0,310470;-0,209407
-0,927230;-0,366976;-0,074658
-0,927230;-0,366976;-0,074657
0,805320;0,580942;0,118179
0,805322;0,491492;0,331500
0,805320;0,580943;0,118176
0,805322;0,491492;0,331500
0,805320;0,580942;0,118179
0,805322;0,491491;0,331502
0,000213;0,979927;0,199355
0,000213;0,979927;0,199356
0,000215;0,829046;0,559180
0,000215;0,829046;0,559180
0,000215;0,829046;0,559180
0,000213;0,979927;0,199356
0,939056;-0,284999;-0,192224
0,939056;-0,336864;-0,068529
0,939056;-0,284998;-0,192226
0,939056;-0,336864;-0,068529
0,939056;-0,284999;-0,192224
0,939056;-0,336864;-0,068530
0,949645;0,259766;0,175202
1,000000;-0,000008;0,000006
0,949647;0,307032;0,062456
0,938361;0,286565;0,193284
0,938361;0,338718;0,068908
0,938361;0,286564;0,193285
0,938361;0,338718;0,068908
0,938361;0,286565;0,193284
0,938361;0,338718;0,068907
-0,927231;0,310470;0,209407
-0,927230;0,366976;0,074658
-0,927230;0,366976;0,074657
-0,927230;0,366976;0,074658
-0,927231;0,310470;0,209407
-0,927231;0,310470;0,209407
0,805321;-0,491496;-0,331496
0,805320;-0,580942;-0,118182
0,805321;-0,491495;-0,331497
0,805320;-0,580942;-0,118182
0,805321;-0,491496;-0,331496
0,805320;-0,580943;-0,118177
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
-1,000000;0,000000;-0,000000
0,000213;0,979927;0,199356
0,000213;0,979927;0,199355
0,000213;0,981625;-0,190821
0,000213;0,979927;0,199355
0,000213;0,981625;-0,190821
0,000213;0,981625;-0,190821
0,939056;-0,337448;0,065599
0,939056;-0,336864;-0,068529
0,939056;-0,336864;-0,068530
0,939056;-0,336864;-0,068529
0,939056;-0,337448;0,065599
0,939056;-0,337448;0,065598
0,949647;0,307032;0,062456
1,000000;-0,000008;0,000006
0,949647;0,307562;-0,059797
0,938361;0,338718;0,068907
0,938361;0,339305;-0,065959
0,938361;0,338718;0,068908
0,938361;0,339305;-0,065959
0,938361;0,338718;0,068907
0,938361;0,339304;-0,065960
-0,927230;0,367611;-0,071460
-0,927230;0,366976;0,074657
-0,927230;0,366976;0,074658
-0,927230;0,366976;0,074658
-0,927230;0,367611;-0,071461
-0,927230;0,367611;-0,071460
0,805320;-0,580943;-0,118177
0,805322;-0,581943;0,113132
0,805320;-0,580942;-0,118182
0,805322;-0,581943;0,113132
0,805320;-0,580943;-0,118177
0,805322;-0,581943;0,113133
0,000214;-0,981625;0,190819
0,000213;-0,979927;-0,199355
0,000214;-0,981625;0,190819
0,000213;-0,979927;-0,199355
0,000214;-0,981625;0,190819
0,000213;-0,979927;-0,199356
0,939055;0,337450;-0,065600
0,939055;0,336867;0,068529
0,939055;0,337450;-0,065601
0,939055;0,336867;0,068529
0,939055;0,337450;-0,065600
0,939055;0,336867;0,068530
0,949643;-0,307046;-0,062459
1,000000;-0,000008;0,000006
0,949642;-0,307578;0,059798
0,938361;-0,339304;0,065959
0,938361;-0,338718;-0,068907
0,938361;-0,339304;0,065960
0,938361;-0,338718;-0,068907
0,938361;-0,339304;0,065959
0,938361;-0,338718;-0,068908
-0,927231;-0,367610;0,071459
-0,927230;-0,366976;-0,074658
-0,927231;-0,367610;0,071460
-0,927230;-0,366976;-0,074658
-0,927231;-0,367610;0,071459
-0,927230;-0,366976;-0,074657
0,805320;0,581946;-0,113133
0,805320;0,580943;0,118176
0,805320;0,581945;-0,113137
0,805320;0,580943;0,118176
0,805320;0,581946;-0,113133
0,805320;0,580942;0,118179
0,000216;-0,190822;-0,981625
0,000214;0,199358;-0,979927
0,000216;-0,190822;-0,981625
0,000214;0,199358;-0,979927
0,000216;-0,190822;-0,981625
0,000214;0,199358;-0,979927
0,939055;0,065600;0,337450
0,939055;-0,068529;0,336867
0,939055;0,065601;0,337450
0,939055;-0,068529;0,336867
0,939055;0,065600;0,337450
0,939055;-0,068530;0,336867
0,949647;0,062460;-0,307034
1,000000;-0,000008;0,000006
0,949646;-0,059792;-0,307568
0,938361;0,068907;-0,338718
0,938361;-0,065959;-0,339304
0,938361;0,068908;-0,338718
0,938361;-0,065959;-0,339304
0,938361;0,068907;-0,338718
0,938361;-0,065960;-0,339304
-0,927231;-0,071460;-0,367607
-0,927231;0,074659;-0,366973
-0,927231;0,074658;-0,366974
-0,927231;-0,071460;-0,367607
-0,927231;0,074658;-0,366974
-0,927231;-0,071461;-0,367607
0,805325;0,113131;0,581939
0,805325;-0,118178;0,580935
0,805325;0,113132;0,581938
0,805325;-0,118178;0,580935
0,805325;0,113131;0,581939
0,805325;-0,118179;0,580934
0,000216;0,190822;0,981625
0,000214;-0,199358;0,979927
0,000216;0,190822;0,981625
0,000214;-0,199358;0,979927
0,000216;0,190822;0,981625
0,000214;-0,199358;0,979927
0,939055;-0,065600;-0,337450
0,939055;0,068529;-0,336868
0,939055;-0,065601;-0,337450
0,939055;0,068529;-0,336868
0,939055;-0,065600;-0,337450
0,939055;0,068531;-0,336867
0,949641;-0,062465;0,307049
1,000000;-0,000008;0,000006
0,949644;0,059793;0,307574
0,938361;-0,068907;0,338718
0,938361;0,065959;0,339304
0,938361;-0,068908;0,338718
0,938361;0,065959;0,339304
0,938361;-0,068907;0,338718
0,938361;0,065960;0,339304
-0,927231;-0,074658;0,366974
-0,927231;0,071461;0,367607
-0,927231;0,071460;0,367607
-0,927231;-0,074658;0,366974
-0,927231;0,071460;0,367607
-0,927231;-0,074659;0,366973
0,805322;-0,113129;-0,581944
0,805324;0,118182;-0,580936
0,805322;-0,113132;-0,581943
0,805324;0,118182;-0,580936
0,805322;-0,113129;-0,581944
0,805324;0,118182;-0,580936
0,000210;0,559185;-0,829043
0,000211;0,833878;-0,551949
0,000211;0,833877;-0,551950
0,000211;0,833878;-0,551949
0,000210;0,559185;-0,829043
0,000210;0,559186;-0,829042
0,939055;-0,192227;0,284999
0,939055;-0,286658;0,189744
0,939055;-0,192226;0,285000
0,939055;-0,286658;0,189744
0,939055;-0,192227;0,284999
0,939055;-0,286659;0,189743
0,949648;0,261268;-0,172939
1,000000;-0,000008;0,000006
0,949647;0,175200;-0,259758
0,938361;0,193285;-0,286564
0,938361;0,288234;-0,190785
0,938361;0,193283;-0,286565
0,938361;0,288234;-0,190785
0,938361;0,193285;-0,286564
0,938361;0,288235;-0,190784
-0,927229;0,209413;-0,310472
-0,927229;0,312282;-0,206703
-0,927229;0,312283;-0,206702
-0,927229;0,312282;-0,206703
-0,927229;0,209413;-0,310472
-0,927229;0,209412;-0,310473
0,805325;-0,331497;0,491488
0,805325;-0,494347;0,327218
0,805325;-0,331496;0,491489
0,805325;-0,494347;0,327218
0,805325;-0,331497;0,491488
0,805325;-0,494348;0,327218
0,000213;-0,559182;0,829045
0,000215;-0,833877;0,551950
0,000215;-0,833877;0,551950
0,000215;-0,833877;0,551950
0,000213;-0,559182;0,829045
0,000213;-0,559183;0,829044
0,939055;0,286658;-0,189744
0,939055;0,192227;-0,284999
0,939055;0,286659;-0,189743
0,939055;0,192227;-0,284999
0,939055;0,286658;-0,189744
0,939055;0,192226;-0,285000
0,949642;-0,261280;0,172955
1,000000;-0,000008;0,000006
0,949641;-0,175207;0,259779
0,938361;-0,288234;0,190785
0,938361;-0,193285;0,286564
0,938361;-0,288235;0,190784
0,938361;-0,193285;0,286564
0,938361;-0,288234;0,190785
0,938361;-0,193284;0,286565
-0,927231;-0,312279;0,206700
-0,927230;-0,209411;0,310471
-0,927230;-0,209410;0,310472
-0,927230;-0,209411;0,310471
-0,927231;-0,312279;0,206700
-0,927231;-0,312278;0,206700
0,805321;0,494348;-0,327227
0,805323;0,331496;-0,491493
0,805321;0,494350;-0,327224
0,805323;0,331496;-0,491493
0,805321;0,494348;-0,327227
0,805323;0,331494;-0,491493
0,000215;-0,829046;-0,559180
0,000216;-0,551948;-0,833878
0,000216;-0,551948;-0,833878
0,000216;-0,551948;-0,833878
0,000215;-0,829046;-0,559180
0,000215;-0,829046;-0,559180
0,939055;0,189744;0,286658
0,939055;0,284999;0,192227
0,939055;0,189743;0,286659
0,939055;0,284999;0,192227
0,939055;0,189744;0,286658
0,939055;0,285000;0,192226
0,949644;-0,172941;-0,261280
1,000000;-0,000008;0,000006
0,949644;-0,259766;-0,175208
0,938361;-0,190785;-0,288234
0,938361;-0,286564;-0,193285
0,938361;-0,190784;-0,288235
0,938361;-0,286564;-0,193285
0,938361;-0,190785;-0,288234
0,938361;-0,286565;-0,193283
-0,927231;-0,206698;-0,312278
-0,927231;-0,310470;-0,209407
-0,927231;-0,310470;-0,209407
-0,927231;-0,206698;-0,312278
-0,927231;-0,310470;-0,209407
-0,927231;-0,206698;-0,312278
0,805322;0,491491;0,331502
0,805324;0,327217;0,494351
0,805322;0,491492;0,331500
0,805324;0,327217;0,494351
0,805322;0,491491;0,331502
0,805324;0,327216;0,494351
0,000215;0,829046;0,559180
0,000216;0,551948;0,833878
0,000216;0,551948;0,833878
0,000216;0,551948;0,833878
0,000215;0,829046;0,559180
0,000215;0,829046;0,559180
0,939056;-0,284998;-0,192226
0,939055;-0,189744;-0,286658
0,939056;-0,284999;-0,192224
0,939055;-0,189744;-0,286658
0,939056;-0,284998;-0,192226
0,939055;-0,189743;-0,286659
0,949645;0,172950;0,261271
1,000000;-0,000008;0,000006
0,949645;0,259766;0,175202
0,938361;0,286564;0,193285
0,938361;0,190785;0,288234
0,938361;0,286565;0,193284
0,938361;0,190785;0,288234
0,938361;0,286564;0,193285
0,938361;0,190784;0,288235
-0,927231;0,206699;0,312278
-0,927231;0,310470;0,209407
-0,927231;0,206698;0,312278
-0,927231;0,310470;0,209407
-0,927231;0,206699;0,312278
-0,927231;0,310470;0,209407
0,805321;-0,491495;-0,331497
0,805321;-0,327227;-0,494348
0,805321;-0,491496;-0,331496
0,805321;-0,327227;-0,494348
0,805321;-0,491495;-0,331497
0,805321;-0,327224;-0,494350
0,000211;0,833877;-0,551950
0,000213;0,981625;-0,190821
0,000213;0,981625;-0,190821
0,000213;0,981625;-0,190821
0,000211;0,833877;-0,551950
0,000211;0,833878;-0,551949
0,939056;-0,337448;0,065599
0,939055;-0,286659;0,189743
0,939056;-0,337448;0,065598
0,939055;-0,286659;0,189743
0,939056;-0,337448;0,065599
0,939055;-0,286658;0,189744
0,949647;0,307562;-0,059797
1,000000;-0,000008;0,000006
0,949648;0,261268;-0,172939
0,938361;0,339304;-0,065960
0,938361;0,288235;-0,190784
0,938361;0,339305;-0,065959
0,938361;0,288235;-0,190784
0,938361;0,339304;-0,065960
0,938361;0,288234;-0,190785
-0,927229;0,312283;-0,206702
-0,927230;0,367611;-0,071460
-0,927230;0,367611;-0,071461
-0,927230;0,367611;-0,071460
-0,927229;0,312283;-0,206702
-0,927229;0,312282;-0,206703
0,805325;-0,494348;0,327218
0,805322;-0,581943;0,113133
0,805325;-0,494347;0,327218
0,805322;-0,581943;0,113133
0,805325;-0,494348;0,327218
0,805322;-0,581943;0,113132
0,000215;-0,833877;0,551950
0,000214;-0,981625;0,190819
0,000214;-0,981625;0,190819
0,000214;-0,981625;0,190819
0,000215;-0,833877;0,551950
0,000215;-0,833877;0,551950
0,939055;0,286659;-0,189743
0,939055;0,337450;-0,065601
0,939055;0,286658;-0,189744
0,939055;0,337450;-0,065601
0,939055;0,286659;-0,189743
0,939055;0,337450;-0,065600
0,949642;-0,307578;0,059798
1,000000;-0,000008;0,000006
0,949642;-0,261280;0,172955
0,938361;-0,288235;0,190784
0,938361;-0,339304;0,065960
0,938361;-0,288234;0,190785
0,938361;-0,339304;0,065960
0,938361;-0,288235;0,190784
0,938361;-0,339304;0,065959
-0,927231;-0,367610;0,071460
-0,927231;-0,312279;0,206700
-0,927231;-0,367610;0,071459
-0,927231;-0,312279;0,206700
-0,927231;-0,367610;0,071460
-0,927231;-0,312278;0,206700
0,805321;0,494350;-0,327224
0,805320;0,581945;-0,113137
0,805321;0,494348;-0,327227
0,805320;0,581945;-0,113137
0,805321;0,494350;-0,327224
0,805320;0,581946;-0,113133
0,000216;-0,551948;-0,833878
0,000216;-0,190822;-0,981625
0,000216;-0,190822;-0,981625
0,000216;-0,190822;-0,981625
0,000216;-0,551948;-0,833878
0,000216;-0,551948;-0,833878
0,939055;0,065601;0,337450
0,939055;0,189743;0,286659
0,939055;0,065600;0,337450
0,939055;0,189743;0,286659
0,939055;0,065601;0,337450
0,939055;0,189744;0,286658
0,949646;-0,059792;-0,307568
1,000000;-0,000008;0,000006
0,949644;-0,172941;-0,261280
0,938361;-0,065960;-0,339304
0,938361;-0,190784;-0,288235
0,938361;-0,065959;-0,339304
0,938361;-0,190784;-0,288235
0,938361;-0,065960;-0,339304
0,938361;-0,190785;-0,288234
-0,927231;-0,206698;-0,312278
-0,927231;-0,071460;-0,367607
-0,927231;-0,071461;-0,367607
-0,927231;-0,071461;-0,367607
-0,927231;-0,206698;-0,312278
-0,927231;-0,206698;-0,312278
0,805325;0,113132;0,581938
0,805324;0,327216;0,494351
0,805325;0,113131;0,581939
0,805324;0,327216;0,494351
0,805325;0,113132;0,581938
0,805324;0,327217;0,494351
0,000216;0,551948;0,833878
0,000216;0,190822;0,981625
0,000216;0,190822;0,981625
0,000216;0,190822;0,981625
0,000216;0,551948;0,833878
0,000216;0,551948;0,833878
0,939055;-0,189743;-0,286659
0,939055;-0,065601;-0,337450
0,939055;-0,189744;-0,286658
0,939055;-0,065601;-0,337450
0,939055;-0,189743;-0,286659
0,939055;-0,065600;-0,337450
0,949644;0,059793;0,307574
1,000000;-0,000008;0,000006
0,949645;0,172950;0,261271
0,938361;0,190784;0,288235
0,938361;0,065960;0,339304
0,938361;0,190785;0,288234
0,938361;0,065960;0,339304
0,938361;0,190784;0,288235
0,938361;0,065959;0,339304
-0,927231;0,206698;0,312278
-0,927231;0,071461;0,367607
-0,927231;0,206699;0,312278
-0,927231;0,071461;0,367607
-0,927231;0,206698;0,312278
-0,927231;0,071460;0,367607
0,805321;-0,327224;-0,494350
0,805322;-0,113132;-0,581943
0,805321;-0,327227;-0,494348
0,805322;-0,113132;-0,581943
0,805321;-0,327224;-0,494350
0,805322;-0,113129;-0,581944
0,000214;0,199358;-0,979927
0,000210;0,559185;-0,829043
0,000214;0,199358;-0,979927
0,000210;0,559185;-0,829043
0,000214;0,199358;-0,979927
0,000210;0,559186;-0,829042
0,939055;-0,068530;0,336867
0,939055;-0,192226;0,285000
0,939055;-0,068529;0,336867
0,939055;-0,192226;0,285000
0,939055;-0,068530;0,336867
0,939055;-0,192227;0,284999
0,949647;0,175200;-0,259758
1,000000;-0,000008;0,000006
0,949647;0,062460;-0,307034
0,938361;0,068908;-0,338718
0,938361;0,193283;-0,286565
0,938361;0,068907;-0,338718
0,938361;0,193283;-0,286565
0,938361;0,068908;-0,338718
0,938361;0,193285;-0,286564
-0,927229;0,209413;-0,310472
-0,927231;0,074659;-0,366973
-0,927229;0,209412;-0,310473
-0,927231;0,074659;-0,366973
-0,927229;0,209413;-0,310472
-0,927231;0,074658;-0,366974
0,805325;-0,118179;0,580934
0,805325;-0,331496;0,491489
0,805325;-0,118178;0,580935
0,805325;-0,331496;0,491489
0,805325;-0,118179;0,580934
0,805325;-0,331497;0,491488
0,000214;-0,199358;0,979927
0,000213;-0,559182;0,829045
0,000214;-0,199358;0,979927
0,000213;-0,559182;0,829045
0,000214;-0,199358;0,979927
0,000213;-0,559183;0,829044
0,939055;0,192226;-0,285000
0,939055;0,068531;-0,336867
0,939055;0,192227;-0,284999
0,939055;0,068531;-0,336867
0,939055;0,192226;-0,285000
0,939055;0,068529;-0,336868
0,949641;-0,175207;0,259779
1,000000;-0,000008;0,000006
0,949641;-0,062465;0,307049
0,938361;-0,193284;0,286565
0,938361;-0,068908;0,338718
0,938361;-0,193285;0,286564
0,938361;-0,068908;0,338718
0,938361;-0,193284;0,286565
0,938361;-0,068907;0,338718
-0,927230;-0,209411;0,310471
-0,927231;-0,074658;0,366974
-0,927231;-0,074659;0,366973
-0,927230;-0,209411;0,310471
-0,927231;-0,074659;0,366973
-0,927230;-0,209410;0,310472
0,805323;0,331494;-0,491493
0,805324;0,118182;-0,580936
0,805323;0,331496;-0,491493
0,805324;0,118182;-0,580936
0,805323;0,331494;-0,491493
0,805324;0,118182;-0,580936
0,000213;-0,979927;-0,199356
0,000215;-0,829046;-0,559180
0,000213;-0,979927;-0,199355
0,000215;-0,829046;-0,559180
0,000213;-0,979927;-0,199356
0,000215;-0,829046;-0,559180
0,939055;0,336867;0,068530
0,939055;0,285000;0,192226
0,939055;0,336867;0,068529
0,939055;0,285000;0,192226
0,939055;0,336867;0,068530
0,939055;0,284999;0,192227
0,949644;-0,259766;-0,175208
1,000000;-0,000008;0,000006
0,949643;-0,307046;-0,062459
0,938361;-0,338718;-0,068908
0,938361;-0,286565;-0,193283
0,938361;-0,338718;-0,068907
0,938361;-0,286565;-0,193283
0,938361;-0,338718;-0,068908
0,938361;-0,286564;-0,193285
-0,927230;-0,366976;-0,074658
